Age;Education;Country;Ethnicity;Gender;Neuroticism;Extraversion;Openness;Agreeableness;Conscientiousness;Impulsiveness;SensationSeeing;Cocaine
45-54;college or university but no diploma;UK;White;0;28;37;37;49;42;-0.21712;0.40148;Used in last decade
35-44;college or university but no diploma;UK;White;1;36;40;34;43;44;-1.37983;-1.54858;Never used
35-44;college or university but no diploma;UK;White;0;43;43;40;50;46;0.52975;-0.21575;Never used
35-44;college or university but no diploma;UK;White;0;43;39;38;44;41;-0.21712;0.40148;Never used
25-34;college or university but no diploma;Canada;White;1;27;41;45;50;46;-0.71126;0.07987;Used in last decade
45-54;college or university but no diploma;UK;White;1;28;43;36;37;38;-0.71126;0.07987;Never used
35-44;college or university but no diploma;USA;White;1;53;26;29;50;44;-0.21712;-1.54858;Never used
35-44;college or university but no diploma;UK;White;1;33;48;47;47;49;0.19268;0.07987;Never used
18-24;college or university but no diploma;UK;White;1;59;30;51;40;46;-0.21712;0.7654;Never used
35-44;college or university but no diploma;UK;White;1;48;40;44;50;43;0.19268;-0.52593;Used in last decade
18-24;college or university but no diploma;UK;White;0;50;31;51;27;27;0.88113;0.07987;Used in last year
35-44;college or university but no diploma;UK;White;1;39;45;44;51;47;-1.37983;-1.18084;Never used
18-24;college or university but no diploma;UK;White;0;38;46;39;39;46;1.29221;0.40148;Never used
18-24;college or university but no diploma;UK;White;1;50;29;24;48;35;-1.37983;-1.54858;Never used
25-34;college or university but no diploma;UK;White;1;33;33;34;33;31;-2.55524;-1.54858;Never used
25-34;college or university but no diploma;UK;White;0;26;49;53;48;41;0.52975;0.07987;Used in last year
45-54;college or university but no diploma;UK;White;1;36;38;30;42;41;-0.71126;-0.84637;Never used
35-44;college or university but no diploma;UK;White;1;42;32;49;38;39;-1.37983;-0.52593;Never used
35-44;college or university but no diploma;UK;White;1;41;38;39;54;52;-1.37983;-2.07848;Never used
25-34;college or university but no diploma;UK;White;1;30;50;50;44;45;1.29221;1.92173;Used in last decade
18-24;college or university but no diploma;UK;White;1;45;46;38;47;44;-0.21712;0.40148;Used in last year
18-24;college or university but no diploma;UK;White;0;27;35;44;39;32;0.52975;0.40148;Never used
35-44;college or university but no diploma;UK;White;0;36;39;51;44;39;-0.21712;-0.21575;Used in last year
18-24;college or university but no diploma;UK;White;0;35;35;48;28;32;0.19268;0.7654;Used in last week
25-34;college or university but no diploma;UK;White;0;28;46;47;36;37;1.29221;1.92173;Used in last decade
25-34;college or university but no diploma;UK;White;0;39;27;36;41;39;0.52975;-0.84637;Never used
18-24;college or university but no diploma;UK;White;1;47;49;53;31;35;1.29221;1.2247;Never used
18-24;college or university but no diploma;UK;White;0;50;30;28;54;32;0.52975;-1.18084;Never used
18-24;college or university but no diploma;UK;White;0;26;47;52;34;31;-0.71126;1.2247;Used in last year
55-64;college or university but no diploma;UK;White;1;49;35;55;42;27;0.88113;1.2247;Used in last decade
18-24;college or university but no diploma;USA;White;0;22;44;44;39;40;0.52975;0.7654;Never used
18-24;college or university but no diploma;USA;White;0;36;42;46;34;41;0.52975;0.07987;Never used
18-24;college or university but no diploma;UK;White;0;33;43;45;38;32;0.19268;0.07987;Never used
55-64;college or university but no diploma;USA;White;1;27;46;49;39;39;0.52975;-0.21575;Never used
18-24;college or university but no diploma;USA;White;1;42;40;42;46;39;-0.21712;1.2247;Never used
18-24;college or university but no diploma;UK;White;0;39;42;44;48;28;0.19268;0.7654;Never used
35-44;college or university but no diploma;USA;White;1;40;42;48;49;45;-0.71126;-0.52593;Used over a decade ago
25-34;college or university but no diploma;UK;White;0;38;38;34;47;37;-0.21712;0.07987;Used in last week
18-24;college or university but no diploma;Australia;White;0;46;48;54;39;34;0.19268;0.40148;Used in last year
18-24;college or university but no diploma;UK;White;1;48;47;49;47;48;-0.71126;0.07987;Used in last decade
18-24;college or university but no diploma;UK;White;1;42;38;42;35;51;-0.71126;1.2247;Used in last year
18-24;college or university but no diploma;Canada;White;1;51;46;55;41;35;0.88113;1.2247;Never used
35-44;college or university but no diploma;other;White;1;45;41;49;37;43;1.29221;1.2247;Used in last decade
18-24;college or university but no diploma;UK;White;0;40;36;43;48;49;-1.37983;-0.52593;Never used
18-24;college or university but no diploma;USA;White;1;42;43;53;54;44;-0.21712;0.40148;Used in last year
35-44;college or university but no diploma;UK;White;0;24;41;50;51;37;0.88113;0.07987;Used in last year
45-54;college or university but no diploma;UK;White;0;27;41;46;47;30;1.29221;-0.21575;Never used
18-24;college or university but no diploma;USA;White;0;23;50;56;48;56;-0.71126;-1.18084;Used in last year
18-24;college or university but no diploma;USA;White;0;42;39;50;32;41;1.29221;1.92173;Never used
18-24;college or university but no diploma;other;White;0;44;44;48;36;31;-0.71126;-0.21575;Used in last year
25-34;college or university but no diploma;UK;White;0;36;53;44;39;42;1.29221;0.07987;Used in last Month
35-44;college or university but no diploma;UK;White;1;48;44;55;46;37;1.86203;-0.52593;Used in last year
25-34;college or university but no diploma;USA;White;0;41;32;43;49;42;-0.21712;0.07987;Used over a decade ago
18-24;college or university but no diploma;UK;White;0;29;40;43;37;44;0.52975;1.92173;Used in last year
18-24;college or university but no diploma;Canada;White;0;57;42;48;37;34;1.86203;1.2247;Used in last year
18-24;college or university but no diploma;other;Mixed Black/Asian;0;36;38;45;29;26;1.29221;1.2247;Never used
18-24;college or university but no diploma;USA;White;1;39;45;53;50;38;0.19268;0.40148;Never used
18-24;college or university but no diploma;USA;White;0;36;40;55;44;40;0.19268;0.07987;Used in last decade
18-24;college or university but no diploma;USA;White;1;32;41;46;42;34;1.29221;0.7654;Never used
18-24;college or university but no diploma;USA;White;0;26;54;53;42;48;0.88113;0.7654;Used in last year
18-24;college or university but no diploma;USA;White;1;34;47;42;39;36;0.88113;0.07987;Never used
18-24;college or university but no diploma;Canada;White;0;40;32;50;47;36;0.19268;-0.21575;Used in last Month
18-24;college or university but no diploma;USA;White;1;24;42;51;49;52;-0.71126;0.40148;Never used
18-24;college or university but no diploma;USA;other;1;43;42;55;43;36;1.86203;1.92173;Used in last year
25-34;college or university but no diploma;Australia;White;0;27;43;51;46;25;1.86203;1.92173;Never used
18-24;college or university but no diploma;USA;other;0;50;40;48;48;41;-0.21712;0.7654;Never used
18-24;college or university but no diploma;USA;White;1;26;49;56;54;36;0.19268;-0.52593;Used in last decade
18-24;college or university but no diploma;USA;White;1;40;45;54;50;46;-0.71126;0.07987;Never used
25-34;college or university but no diploma;Republic of Ireland;White;0;22;53;52;43;48;-0.21712;0.40148;Used in last Month
18-24;college or university but no diploma;other;White;0;23;27;46;27;40;0.52975;0.7654;Never used
18-24;college or university but no diploma;UK;Black;0;36;33;49;39;35;0.52975;1.2247;Never used
18-24;college or university but no diploma;USA;other;0;33;40;44;48;36;-1.37983;1.92173;Used in last year
18-24;college or university but no diploma;USA;White;1;25;54;54;49;48;0.19268;0.7654;Never used
25-34;college or university but no diploma;USA;White;0;38;31;52;38;40;-0.21712;0.7654;Used over a decade ago
18-24;college or university but no diploma;USA;White;1;24;47;54;45;36;1.86203;1.92173;Used in last week
18-24;college or university but no diploma;USA;White;0;40;41;48;41;40;1.86203;0.7654;Used in last year
18-24;college or university but no diploma;other;White;0;33;50;46;35;54;-0.21712;0.7654;Never used
45-54;college or university but no diploma;USA;White;1;35;35;51;55;39;-0.21712;-0.21575;Used over a decade ago
25-34;college or university but no diploma;USA;White;0;32;42;57;48;33;0.88113;0.40148;Used in last year
35-44;college or university but no diploma;UK;White;0;42;26;46;44;42;0.19268;1.2247;Used in last year
18-24;college or university but no diploma;USA;White;0;27;48;43;48;44;-0.21712;0.40148;Never used
18-24;college or university but no diploma;USA;White;1;33;41;57;52;39;1.29221;1.2247;Used in last decade
18-24;college or university but no diploma;USA;White;0;48;40;53;35;36;0.52975;1.92173;Never used
18-24;college or university but no diploma;other;White;0;34;42;54;40;35;0.52975;1.2247;Used in last year
18-24;college or university but no diploma;Australia;White;0;39;51;48;38;28;1.86203;1.92173;Used in last year
18-24;college or university but no diploma;USA;White;0;41;45;51;49;36;0.52975;1.2247;Used in last year
18-24;college or university but no diploma;USA;White;0;35;46;37;27;35;1.29221;1.92173;Used in last year
18-24;college or university but no diploma;USA;White;0;42;42;47;44;41;0.19268;0.7654;Used in last year
25-34;college or university but no diploma;USA;White;0;28;53;52;46;37;1.86203;1.92173;Used in last year
18-24;college or university but no diploma;UK;White;1;55;19;38;40;23;-0.71126;-0.84637;Never used
18-24;college or university but no diploma;USA;White;1;38;34;51;56;49;0.52975;1.2247;Never used
25-34;college or university but no diploma;other;White;0;46;36;47;49;38;0.88113;-0.21575;Used in last year
18-24;college or university but no diploma;USA;White;0;48;31;49;43;44;-1.37983;-1.54858;Used in last decade
18-24;college or university but no diploma;USA;White;1;46;43;55;53;37;0.88113;0.7654;Used in last year
18-24;college or university but no diploma;USA;White;0;29;37;39;41;40;-0.21712;-0.21575;Never used
18-24;college or university but no diploma;USA;White;1;40;36;49;41;39;-0.21712;-0.21575;Used in last decade
18-24;college or university but no diploma;USA;White;0;30;39;51;49;40;-0.71126;0.40148;Never used
25-34;college or university but no diploma;USA;White;0;21;39;52;33;45;-0.21712;0.07987;Used in last decade
18-24;college or university but no diploma;Republic of Ireland;White;0;31;37;53;44;31;-0.21712;0.7654;Used in last decade
25-34;college or university but no diploma;other;White;1;54;38;49;35;34;0.19268;0.7654;Used in last year
45-54;college or university but no diploma;USA;White;0;57;29;33;44;29;0.88113;-0.52593;Used in last year
18-24;college or university but no diploma;USA;White;1;38;39;44;56;51;-1.37983;-1.18084;Never used
18-24;college or university but no diploma;USA;White;0;12;43;46;51;54;-0.21712;0.7654;Never used
18-24;college or university but no diploma;USA;other;0;45;40;54;42;31;1.29221;0.40148;Never used
18-24;college or university but no diploma;USA;White;0;46;25;41;50;32;0.88113;0.40148;Used in last year
18-24;college or university but no diploma;other;White;0;22;31;52;53;28;-0.21712;0.40148;Never used
18-24;college or university but no diploma;Republic of Ireland;White;0;51;34;41;35;25;-0.21712;0.07987;Used in last year
18-24;college or university but no diploma;USA;White;0;37;41;47;39;37;0.52975;1.92173;Used in last day
18-24;college or university but no diploma;USA;White;0;36;39;56;44;44;0.52975;1.92173;Used in last Month
25-34;college or university but no diploma;USA;White;0;44;32;49;39;49;0.88113;-0.21575;Never used
18-24;college or university but no diploma;USA;White;0;33;41;39;47;48;0.88113;0.40148;Used in last year
18-24;college or university but no diploma;other;White;0;44;39;46;34;35;-1.37983;0.07987;Used in last year
25-34;college or university but no diploma;USA;White;1;31;42;47;53;43;1.29221;0.40148;Used over a decade ago
25-34;college or university but no diploma;other;White;0;52;37;42;40;34;0.19268;0.40148;Used in last Month
18-24;college or university but no diploma;USA;White;0;44;38;50;37;35;0.88113;0.7654;Never used
18-24;college or university but no diploma;USA;White;0;14;47;53;53;38;0.19268;0.40148;Never used
18-24;college or university but no diploma;USA;White;0;45;37;46;40;29;0.88113;0.40148;Never used
18-24;college or university but no diploma;USA;White;0;39;46;57;38;37;1.29221;1.92173;Used in last week
18-24;college or university but no diploma;Canada;White;0;23;47;50;39;36;0.88113;0.40148;Never used
18-24;college or university but no diploma;other;White;0;33;32;48;40;34;-1.37983;0.7654;Never used
18-24;college or university but no diploma;Australia;White;0;33;41;50;40;42;0.19268;0.7654;Never used
18-24;college or university but no diploma;USA;White;0;40;44;44;37;42;0.19268;0.7654;Used in last decade
18-24;college or university but no diploma;USA;White;0;33;44;48;40;42;1.29221;1.2247;Used in last year
18-24;college or university but no diploma;USA;White;1;45;38;46;43;39;-0.21712;-0.21575;Never used
18-24;college or university but no diploma;other;White;1;51;37;49;47;45;0.19268;0.07987;Never used
18-24;college or university but no diploma;USA;White;0;31;47;50;39;33;0.52975;1.2247;Never used
25-34;college or university but no diploma;USA;Mixed White/Asian;1;35;49;58;37;38;1.29221;1.2247;Used in last decade
18-24;college or university but no diploma;USA;Mixed White/Black;0;20;52;60;48;44;1.29221;1.2247;Used in last Month
18-24;college or university but no diploma;other;other;0;47;28;46;36;34;0.19268;0.7654;Used in last Month
25-34;college or university but no diploma;USA;White;0;53;32;49;32;32;1.29221;1.2247;Used in last year
18-24;college or university but no diploma;USA;White;1;53;23;51;38;34;-0.21712;-0.52593;Never used
18-24;college or university but no diploma;USA;White;1;31;45;56;49;31;1.29221;0.40148;Never used
18-24;college or university but no diploma;USA;Asian;1;40;31;43;49;41;0.88113;1.2247;Used in last Month
18-24;college or university but no diploma;USA;White;0;44;46;45;41;40;1.29221;0.7654;Never used
25-34;college or university but no diploma;other;White;0;15;42;51;57;42;1.29221;0.7654;Never used
18-24;college or university but no diploma;UK;White;1;26;55;48;35;32;1.86203;0.7654;Used in last week
18-24;college or university but no diploma;USA;White;0;46;33;55;42;32;0.88113;0.40148;Used in last decade
18-24;college or university but no diploma;Australia;White;1;41;46;56;43;50;0.52975;0.07987;Never used
18-24;college or university but no diploma;UK;White;0;44;44;40;36;31;1.29221;0.7654;Used over a decade ago
18-24;college or university but no diploma;USA;White;1;50;44;53;33;33;0.88113;0.7654;Never used
18-24;college or university but no diploma;USA;White;0;40;50;53;46;40;0.52975;1.2247;Used in last Month
18-24;college or university but no diploma;USA;White;0;30;43;56;42;44;0.88113;1.2247;Used in last year
18-24;college or university but no diploma;other;White;0;24;38;52;50;34;-0.71126;-0.21575;Used in last decade
18-24;college or university but no diploma;USA;White;0;22;48;55;39;51;-0.21712;1.2247;Never used
18-24;college or university but no diploma;UK;White;1;33;37;44;43;46;-1.37983;-1.18084;Never used
18-24;college or university but no diploma;USA;White;0;34;43;52;38;44;-0.71126;-0.21575;Used in last Month
18-24;college or university but no diploma;USA;Mixed White/Asian;0;31;53;57;39;32;1.86203;1.92173;Used in last decade
18-24;college or university but no diploma;Australia;White;0;25;32;40;45;44;-1.37983;-0.52593;Never used
25-34;college or university but no diploma;UK;White;0;42;36;44;40;33;1.29221;0.7654;Never used
18-24;college or university but no diploma;USA;White;0;20;47;51;37;49;-0.71126;0.07987;Used in last decade
25-34;college or university but no diploma;USA;White;1;57;26;42;27;24;1.29221;1.2247;Used in last Month
18-24;college or university but no diploma;USA;White;0;55;33;43;41;29;1.29221;0.07987;Used in last Month
18-24;college or university but no diploma;UK;White;0;45;16;43;33;28;1.86203;0.7654;Used in last Month
18-24;college or university but no diploma;other;White;0;49;38;45;42;32;0.19268;-0.21575;Used in last week
18-24;college or university but no diploma;USA;White;0;22;46;56;43;41;1.29221;0.7654;Used in last Month
18-24;college or university but no diploma;USA;White;0;46;27;50;42;22;0.88113;-0.21575;Used in last year
18-24;college or university but no diploma;USA;other;0;27;48;43;39;42;0.88113;1.2247;Never used
35-44;college or university but no diploma;Republic of Ireland;White;1;39;40;40;39;38;-0.71126;0.07987;Used in last year
18-24;college or university but no diploma;USA;other;1;31;45;48;55;53;-1.37983;-0.21575;Used in last Month
18-24;college or university but no diploma;USA;White;1;37;33;38;46;33;-0.71126;0.7654;Used in last year
25-34;college or university but no diploma;UK;White;1;24;50;42;53;49;0.19268;-0.21575;Never used
55-64;college or university but no diploma;UK;White;1;35;44;47;46;45;-0.21712;-1.54858;Never used
25-34;college or university but no diploma;USA;White;0;39;38;53;41;35;0.88113;1.92173;Used in last year
35-44;college or university but no diploma;UK;White;0;28;43;46;44;43;-0.21712;0.07987;Used in last decade
18-24;college or university but no diploma;USA;White;0;53;31;47;33;34;0.88113;1.2247;Never used
18-24;college or university but no diploma;USA;White;1;49;40;46;48;40;0.19268;-0.21575;Never used
45-54;college or university but no diploma;UK;White;1;33;50;40;51;46;-0.71126;-0.84637;Never used
25-34;college or university but no diploma;other;White;1;45;33;54;43;37;-0.21712;-0.84637;Used in last decade
25-34;college or university but no diploma;UK;Mixed White/Black;1;48;34;40;36;35;1.29221;1.92173;Used in last day
18-24;college or university but no diploma;USA;Black;0;46;32;43;42;32;0.19268;0.40148;Used in last week
18-24;college or university but no diploma;USA;White;0;36;39;59;36;30;1.86203;1.92173;Never used
18-24;college or university but no diploma;USA;White;0;44;36;52;46;38;0.52975;1.2247;Never used
18-24;college or university but no diploma;other;White;0;37;37;55;41;33;1.29221;1.2247;Never used
18-24;college or university but no diploma;USA;White;0;24;48;52;50;49;0.88113;0.40148;Never used
18-24;college or university but no diploma;USA;White;0;34;48;44;29;45;-0.21712;0.40148;Never used
18-24;college or university but no diploma;USA;White;1;42;44;60;36;48;0.88113;1.2247;Used in last year
25-34;college or university but no diploma;USA;White;0;19;40;58;37;45;-0.21712;0.40148;Used in last year
18-24;college or university but no diploma;Canada;White;0;28;40;59;48;30;0.88113;1.92173;Never used
65+;college or university but no diploma;USA;White;0;55;39;59;49;37;-0.21712;0.07987;Used over a decade ago
18-24;college or university but no diploma;USA;Mixed White/Asian;0;35;27;50;38;41;1.29221;1.2247;Never used
18-24;college or university but no diploma;USA;White;1;25;51;57;48;33;0.88113;1.92173;Never used
18-24;college or university but no diploma;USA;White;0;33;51;50;48;30;0.88113;0.7654;Never used
18-24;college or university but no diploma;USA;White;1;45;26;48;32;22;1.29221;1.2247;Never used
25-34;doctorat degree;UK;White;0;29;52;55;48;41;-0.71126;-0.21575;Used in last year
25-34;doctorat degree;UK;White;1;49;42;48;41;40;-1.37983;0.07987;Never used
25-34;doctorat degree;UK;White;0;24;37;44;47;48;-0.71126;-1.18084;Never used
45-54;doctorat degree;UK;White;1;16;41;44;55;53;-0.71126;-1.18084;Never used
65+;doctorat degree;UK;White;0;41;39;43;33;53;-0.71126;-1.54858;Never used
45-54;doctorat degree;UK;White;1;28;45;50;43;45;-0.71126;-0.52593;Never used
25-34;doctorat degree;UK;White;1;38;40;55;37;48;0.19268;-0.52593;Never used
35-44;doctorat degree;UK;White;1;40;39;47;43;38;-0.21712;-0.21575;Never used
25-34;doctorat degree;UK;White;0;30;42;45;44;46;-1.37983;-1.54858;Never used
35-44;doctorat degree;UK;White;0;21;33;35;54;46;-2.55524;-0.84637;Used in last year
25-34;doctorat degree;UK;White;1;48;32;37;53;44;-1.37983;-1.54858;Used in last year
45-54;doctorat degree;UK;Mixed White/Black;1;31;43;50;45;41;-0.21712;-2.07848;Never used
25-34;doctorat degree;Republic of Ireland;White;0;28;49;57;37;39;1.29221;0.40148;Used in last week
35-44;doctorat degree;UK;White;1;21;46;39;53;54;-0.21712;-0.52593;Never used
25-34;doctorat degree;Australia;White;1;52;43;53;47;43;-1.37983;0.7654;Never used
25-34;doctorat degree;other;White;0;22;39;51;30;44;0.19268;1.2247;Used in last Month
35-44;doctorat degree;UK;White;1;29;42;46;41;51;-1.37983;-1.54858;Never used
25-34;doctorat degree;UK;White;1;35;42;40;43;45;-1.37983;-0.84637;Never used
25-34;doctorat degree;UK;White;1;34;33;48;49;54;-0.71126;-0.52593;Never used
25-34;doctorat degree;USA;White;0;31;22;30;42;41;-0.21712;-1.18084;Never used
25-34;doctorat degree;UK;White;1;18;33;41;44;38;-0.71126;0.7654;Used in last decade
25-34;doctorat degree;UK;White;1;32;54;55;47;46;-0.21712;0.07987;Never used
25-34;doctorat degree;UK;White;1;26;36;46;50;53;-1.37983;-0.21575;Never used
25-34;doctorat degree;UK;White;1;31;40;45;48;47;-0.71126;-0.52593;Never used
35-44;doctorat degree;UK;White;1;19;50;47;44;47;0.19268;-0.84637;Used in last decade
45-54;doctorat degree;UK;White;1;27;40;47;44;47;-0.21712;-0.21575;Never used
25-34;doctorat degree;UK;White;1;26;49;40;49;46;-0.71126;-0.52593;Never used
25-34;doctorat degree;UK;White;1;49;35;42;33;49;0.88113;-2.07848;Used in last decade
25-34;doctorat degree;USA;other;0;32;43;46;39;42;0.52975;1.2247;Used in last year
45-54;doctorat degree;USA;White;0;42;30;55;37;38;1.86203;0.7654;Used in last year
35-44;doctorat degree;UK;White;1;36;45;48;43;41;-0.21712;-0.52593;Never used
35-44;doctorat degree;UK;White;1;25;43;54;50;57;-0.21712;0.07987;Never used
25-34;doctorat degree;UK;White;1;28;46;44;54;51;-0.71126;0.07987;Never used
25-34;doctorat degree;UK;White;1;36;43;49;48;41;1.86203;1.2247;Used in last year
25-34;doctorat degree;UK;White;1;23;45;46;57;40;-0.21712;-0.21575;Never used
45-54;doctorat degree;UK;White;0;33;34;46;32;41;-0.21712;-0.52593;Used in last decade
65+;left <16;UK;White;0;25;43;38;39;53;-0.21712;-1.18084;Never used
65+;left <16;UK;White;0;22;32;29;37;37;-1.37983;-2.07848;Never used
55-64;left <16;UK;White;1;26;40;46;53;49;-0.71126;-1.54858;Never used
18-24;left <16;UK;White;1;38;39;46;42;39;0.88113;-0.84637;Used in last Month
18-24;left <16;UK;White;1;37;50;57;51;42;1.29221;0.7654;Never used
25-34;left <16;UK;White;0;38;33;36;38;40;-0.21712;-0.21575;Never used
18-24;left <16;UK;White;1;39;40;45;51;42;0.19268;-0.21575;Used in last decade
18-24;left <16;USA;White;1;42;39;52;40;31;0.19268;1.92173;Used in last week
45-54;left <16;USA;White;1;42;39;43;40;34;0.19268;-0.52593;Used in last decade
55-64;left <16;UK;White;0;23;40;34;46;46;-0.71126;-0.52593;Never used
55-64;left <16;UK;White;1;34;41;41;49;46;-0.71126;-0.52593;Never used
35-44;left at 16;UK;White;0;24;52;40;41;52;0.19268;-0.52593;Never used
45-54;left at 16;UK;White;0;32;41;44;41;41;-1.37983;0.07987;Never used
55-64;left at 16;UK;White;0;27;41;43;41;44;-0.71126;0.40148;Never used
35-44;left at 16;UK;White;1;37;40;37;38;46;0.52975;-0.21575;Used in last year
45-54;left at 16;UK;White;1;45;42;36;46;55;-0.71126;-1.18084;Never used
35-44;left at 16;UK;White;1;28;44;38;51;46;-1.37983;-2.07848;Never used
35-44;left at 16;UK;White;1;34;47;48;37;34;1.86203;0.40148;Never used
45-54;left at 16;UK;White;1;29;36;38;50;48;-1.37983;-2.07848;Never used
25-34;left at 16;UK;White;1;45;39;30;45;50;-1.37983;-2.07848;Never used
45-54;left at 16;UK;White;0;37;32;43;32;37;1.86203;1.2247;Used in last decade
45-54;left at 16;UK;White;0;38;40;44;42;42;0.52975;-0.21575;Never used
35-44;left at 16;UK;White;0;40;44;41;38;40;-0.21712;-0.21575;Never used
35-44;left at 16;UK;White;0;50;32;38;31;36;-0.71126;0.07987;Used over a decade ago
18-24;left at 16;UK;White;1;48;36;41;38;34;1.29221;-0.21575;Never used
35-44;left at 16;UK;White;0;20;45;35;40;49;-0.21712;0.07987;Never used
25-34;left at 16;UK;White;1;31;50;49;49;43;-0.21712;0.07987;Used over a decade ago
35-44;left at 16;UK;White;0;32;36;42;35;37;1.29221;0.7654;Used in last decade
18-24;left at 16;UK;White;0;23;45;51;49;48;0.52975;1.2247;Used in last year
25-34;left at 16;UK;White;0;33;51;52;51;45;0.52975;1.92173;Used in last Month
35-44;left at 16;UK;White;1;32;46;41;46;49;-0.71126;-0.84637;Never used
18-24;left at 16;other;White;0;35;31;41;39;40;1.86203;1.2247;Never used
35-44;left at 16;UK;Mixed White/Asian;0;42;41;48;41;40;-0.21712;-0.52593;Never used
18-24;left at 16;UK;White;0;40;33;53;47;34;0.52975;0.7654;Used in last decade
18-24;left at 16;Canada;Mixed White/Black;0;41;45;50;36;33;0.52975;1.2247;Used in last week
18-24;left at 16;New Zealand;White;0;48;32;44;42;37;1.29221;0.7654;Never used
25-34;left at 16;USA;White;0;32;21;41;43;44;-1.37983;-0.84637;Used in last decade
35-44;left at 16;UK;White;1;28;40;38;41;44;0.19268;-0.21575;Never used
18-24;left at 16;other;White;0;41;34;39;38;40;0.52975;0.40148;Used over a decade ago
45-54;left at 16;UK;White;0;32;52;46;48;50;-1.37983;-0.84637;Never used
45-54;left at 16;UK;White;1;38;36;41;45;45;-0.71126;-0.52593;Never used
45-54;left at 16;UK;White;0;36;47;44;43;41;-0.21712;-0.52593;Never used
55-64;left at 16;UK;White;0;39;38;41;32;45;-0.21712;-1.18084;Never used
45-54;left at 16;UK;White;1;35;38;34;51;51;-1.37983;-1.18084;Never used
45-54;left at 16;UK;White;0;33;43;40;39;45;-0.21712;-0.21575;Never used
35-44;left at 16;UK;White;0;45;38;47;45;35;0.88113;1.2247;Used in last year
45-54;left at 17;UK;White;1;32;34;40;45;48;-1.37983;-2.07848;Never used
18-24;left at 17;UK;White;1;32;43;45;39;41;-0.71126;-0.84637;Never used
35-44;left at 17;UK;White;1;31;42;42;43;49;-0.71126;-1.18084;Never used
18-24;left at 17;USA;White;1;23;52;49;44;44;0.88113;1.92173;Never used
18-24;left at 17;Australia;White;0;32;45;51;47;35;1.86203;1.2247;Never used
25-34;left at 17;USA;White;1;56;20;42;28;19;1.86203;1.2247;Used in last year
35-44;left at 17;Canada;White;1;48;35;50;45;52;-1.37983;-1.54858;Never used
18-24;left at 17;USA;other;0;44;32;36;37;43;0.52975;0.7654;Used in last week
35-44;left at 17;UK;White;1;39;28;32;36;31;-1.37983;-2.07848;Never used
25-34;left at 17;USA;White;1;58;37;43;30;26;0.88113;-0.21575;Used in last decade
25-34;left at 17;UK;White;1;32;43;51;46;50;0.88113;0.40148;Used in last decade
18-24;left at 17;Australia;White;0;39;44;44;41;32;0.88113;1.2247;Used in last year
18-24;left at 17;Australia;White;0;34;40;50;41;30;1.29221;1.2247;Used in last year
18-24;left at 17;USA;White;0;43;31;50;39;39;0.52975;0.40148;Used in last year
45-54;left at 18;UK;White;0;38;44;46;40;39;1.86203;1.2247;Used in last week
45-54;left at 18;Canada;White;1;31;47;44;50;43;-2.55524;-0.84637;Never used
18-24;left at 18;UK;White;1;32;40;36;47;41;-0.71126;0.40148;Never used
25-34;left at 18;other;White;1;55;31;40;48;34;0.19268;-1.18084;Never used
35-44;left at 18;UK;White;1;21;45;45;43;52;0.19268;0.07987;Never used
18-24;left at 18;Republic of Ireland;White;1;30;41;41;44;41;-0.71126;-1.18084;Never used
18-24;left at 18;Canada;White;0;38;42;47;37;40;-0.71126;0.07987;Never used
45-54;left at 18;UK;White;0;46;30;49;49;31;0.88113;0.40148;Used over a decade ago
25-34;left at 18;UK;White;1;27;39;31;45;47;-1.37983;-1.54858;Never used
25-34;left at 18;UK;White;1;36;42;39;49;34;0.19268;-0.21575;Used in last decade
25-34;left at 18;other;White;0;50;28;53;38;31;-0.71126;-1.18084;Never used
18-24;left at 18;UK;White;0;41;30;43;52;28;1.29221;0.40148;Never used
45-54;left at 18;UK;White;0;18;47;44;47;39;0.19268;-0.52593;Used in last decade
18-24;left at 18;Republic of Ireland;White;0;31;42;47;38;37;0.88113;1.2247;Never used
25-34;left at 18;other;White;1;45;48;53;38;51;0.19268;0.40148;Used in last decade
18-24;left at 18;Canada;White;0;53;23;38;40;17;-0.21712;-1.18084;Never used
18-24;left at 18;USA;Mixed White/Black;0;44;29;33;43;29;1.29221;1.2247;Never used
18-24;left at 18;UK;White;1;48;46;49;41;40;0.52975;0.40148;Never used
18-24;left at 18;UK;White;1;32;31;39;46;49;-0.71126;-2.07848;Used in last Month
18-24;left at 18;Australia;White;0;49;39;56;37;39;-0.21712;0.07987;Never used
18-24;left at 18;UK;White;0;30;35;56;54;33;-0.21712;-0.52593;Never used
18-24;left at 18;USA;White;1;26;42;57;37;28;0.19268;0.7654;Never used
18-24;left at 18;USA;White;0;27;31;41;36;46;-0.71126;-0.52593;Used in last Month
18-24;left at 18;USA;Mixed White/Asian;0;40;43;44;34;40;0.52975;1.2247;Used in last year
18-24;left at 18;UK;White;1;26;36;46;29;31;1.29221;0.40148;Never used
25-34;left at 18;USA;White;0;39;42;52;50;36;0.52975;0.07987;Used in last decade
18-24;left at 18;USA;other;0;30;59;58;39;48;1.86203;1.2247;Used in last year
18-24;left at 18;Canada;White;0;49;31;38;26;48;-1.37983;-0.21575;Used in last day
18-24;left at 18;other;White;0;44;47;56;51;44;0.88113;1.2247;Used in last decade
18-24;left at 18;USA;White;0;28;52;56;36;39;1.86203;1.92173;Never used
